,name,fold,Direction,tstat,pvalue,FDR,mzmed,mzmin,mzmax,rtmed,rtmin,rtmax,npeaks,LCC1,LCC9,20130426_AYESHA_CELL_NEG_1701,20130426_AYESHA_CELL_NEG_1801,20130426_AYESHA_CELL_NEG_1901,20130426_AYESHA_CELL_NEG_2001,20130426_AYESHA_CELL_NEG_2101,20130426_AYESHA_CELL_NEG_501,20130426_AYESHA_CELL_NEG_601,20130426_AYESHA_CELL_NEG_701,20130426_AYESHA_CELL_NEG_801,20130426_AYESHA_CELL_NEG_901,20130426_AYESHA_CELL_NEG_1101,20130426_AYESHA_CELL_NEG_1201,20130426_AYESHA_CELL_NEG_1301,20130426_AYESHA_CELL_NEG_1401,20130426_AYESHA_CELL_NEG_1501,20130426_AYESHA_CELL_NEG_2301,20130426_AYESHA_CELL_NEG_2401,20130426_AYESHA_CELL_NEG_2501,20130426_AYESHA_CELL_NEG_2601,20130426_AYESHA_CELL_NEG_2701,isotopes,adduct,pcgroup
1455,M747T583,1.746091064,UP,4.134519856,0.001780961,0.0259788,746.5529946,746.5513798,746.5545228,583.206996,582.5179715,585.0340205,15,8,7,17190.10086,15621.01875,17971.40497,10733.85136,17100.73191,14582.66756,15542.91987,17851.89462,11316.7733,16068.58473,20634.18504,31715.98481,27341.97688,15261.64872,36106.03886,24237.95796,31597.44727,25414.35951,15656.87587,40896.53623,[269][M+1]-,,214
262,M285T24,1.933783862,UP,3.805269109,0.001807747,0.026179823,284.7729543,284.7722442,284.773744,23.79000086,23.25100002,24.76200024,20,10,10,8438.147091,9359.456151,2450.879697,4940.549675,8906.471658,8568.599275,7319.856748,2569.23051,5251.120981,7523.259785,14700.25104,16385.28817,5627.78186,10255.2208,15508.8163,15994.4337,15950.11748,5648.853047,10061.99888,16196.64238,,,43
78,M164T43,1.728436044,UP,3.844912432,0.001841506,0.026478231,164.0690684,164.0686671,164.069817,43.36249966,43.046,43.69400086,20,10,10,79444.85747,111944.4733,103785.4257,57699.61136,128361.3044,77301.75149,114788.0402,90622.97895,49411.01936,111878.5025,122914.1621,202113.9617,152246.1192,91401.92247,207799.2418,125978.7643,219460.3199,168813.0018,97317.00348,211170.1514,[3][M]-,[M-H]- 165.077,35
422,M353T24,1.684560524,DOWN,-3.842051834,0.001888037,0.026883034,352.7808919,352.7796663,352.7819455,24.41300076,23.87500086,25.10400033,20,10,10,29034.83717,27398.93916,31922.31972,20912.6543,23589.6269,27037.9413,26495.08986,29650.05386,20452.06817,21393.05511,15303.65542,7861.007381,28485.41276,13139.93043,10613.38632,15924.14477,8517.156542,29331.65982,13371.45462,10540.53865,,,43
1859,M917T607,3.250106936,UP,4.199788206,0.001896369,0.026883034,916.7018808,916.697846,916.7088517,606.5304994,605.1869899,609.0340082,18,8,10,3845.353741,10022.72359,6426.427588,5790.901541,8794.007913,5693.893426,8927.031796,8857.955338,2443.255911,7636.350924,13796.20906,23708.7028,21957.39383,9129.346189,42097.22228,11938.45351,27230.89166,22050.11392,11713.80109,38808.36486,[395][M]-,,32
58,M147T43,1.770633291,UP,3.760629183,0.002056907,0.028954915,147.042522,147.0419743,147.0434635,43.3609995,43.04000002,43.69400086,20,10,10,14848.08905,20322.20921,18564.69707,7703.383299,23535.26593,12237.97203,20935.82819,17142.1209,9718.614126,20880.8183,22857.73517,39379.79516,28592.83378,17238.31458,39531.57714,21812.97121,39862.69483,30371.62735,16660.03934,37420.99403,,[M-H-NH3]- 165.077,35
1837,M909T595,1.631785582,UP,3.582494455,0.002145085,0.029986502,908.6444007,908.6403525,908.6547179,594.7954922,593.5219855,597.1390073,8,3,5,915.8675502,2001.610284,2749.50568,1611.393547,3669.521822,1865.753423,2345.112439,3023.436705,1291.819597,2358.386277,2152.301901,3102.345811,2714.113216,4441.539792,3502.399727,2535.076395,4081.234929,4420.220217,4675.249312,4001.326196,,,1
828,M509T490,3.003948998,UP,3.89342469,0.002180857,0.030011226,509.3441178,509.3400681,509.3492051,490.3349954,490.069024,491.0560226,9,1,8,701.6952394,482.2924466,1638.444797,578.7329744,879.4620436,453.0967952,475.4863926,2035.986286,613.8527847,993.1490369,1491.218384,2790.313602,3815.333877,847.8487396,4570.269838,1742.780624,2574.534244,4108.0407,1052.435042,3598.778652,[126][M+1]-,,111
1119,M637T446,2.065242203,UP,3.859494596,0.002214485,0.030011226,637.3551802,637.3487619,637.3582999,446.1930084,445.5699921,447.0610111,7,1,6,501.4763397,515.2459673,1062.383748,822.4738858,302.0693212,569.179083,460.2545427,578.914278,639.2701288,705.763485,839.2476935,1511.934009,1367.064207,700.6647752,2088.156163,1014.558802,1428.405405,1302.191462,576.9190235,1886.618273,[189][M+1]-,,47
406,M344T29,2.908357043,UP,3.943845413,0.002218235,0.030011226,344.0307819,344.0290596,344.0316229,28.55350041,27.90999983,28.8769992,16,7,9,4302.084564,4144.745761,2400.145203,6830.54175,9111.113965,4719.631289,2387.986519,1329.267579,6614.791809,7231.536118,15676.4224,21830.7168,3896.054734,12657.98272,12064.38714,14732.82877,21799.22507,3346.313206,12549.08915,24165.42472,,[M-2H+K]- 307.085,19
