probeset_id,gene_symbol,pvalue,FDR,logFC,LCC1-P18.CEL,LCC1-P19.CEL,LCC1-P20.CEL,LCC9 -P12.CEL,LCC9 -P13.CEL,LCC9 -P14.CEL
201147_s_at,TIMP3,1.16068E-12,6.14442E-09,-5.660307136,10.15381986,10.21816926,10.21174005,4.670773294,4.390153827,4.541880645
202411_at,IFI27,1.21366E-12,6.14442E-09,5.582485314,6.790248666,7.041113189,6.801263426,12.47427736,12.45063194,12.45517193
202458_at,PRSS23,4.97875E-13,6.14442E-09,5.049191296,7.356959834,7.421332193,7.389277884,12.38679572,12.51525907,12.413089
205513_at,TCN1,1.22692E-12,6.14442E-09,5.500418348,4.137653125,4.005759307,4.137653125,9.481107338,9.711727045,9.589486218
231265_at,COX7B2,1.31169E-12,6.14442E-09,4.717006541,4.509957857,4.526558916,4.593641054,9.167112359,9.315136163,9.298928929
205239_at,AREG /// AREGB,1.74315E-12,6.80108E-09,5.266797406,6.815311514,6.915400045,7.040496915,12.12048613,12.17436605,12.27674852
203914_x_at,HPGD,2.22904E-12,6.97697E-09,5.213910893,4.97638259,4.839495432,5.119440197,10.2285247,10.16322466,10.18530154
205225_at,ESR1,2.3836E-12,6.97697E-09,-4.035568708,13.46298191,13.3801215,13.4232207,9.355941633,9.438063202,9.365613145
209988_s_at,ASCL1,3.76569E-12,8.25084E-09,5.812808938,4.358381522,4.158719445,3.991154443,9.938999138,10.06146346,9.946219623
219795_at,SLC6A14,3.86599E-12,8.25084E-09,5.655391376,4.066975402,3.830898958,4.149640692,9.75418233,9.685429145,9.574077705
229947_at,PI15,3.34578E-12,8.25084E-09,6.240403592,3.55003823,3.31468883,3.729386744,9.715760671,9.815946608,9.783617302
228904_at,HOXB3,4.2547E-12,8.30592E-09,4.131622693,4.818427746,4.702151177,4.731054762,8.811412485,8.959332484,8.875756796
226279_at,PRSS23,4.71343E-12,8.49684E-09,5.88684327,5.036536038,5.072875811,5.412276929,11.03735708,11.05720292,11.08765859
211548_s_at,HPGD,8.05845E-12,1.18139E-08,5.017333599,4.716514104,4.522561909,4.438611482,9.457756325,9.600986748,9.67094522
223631_s_at,C19orf33,7.55766E-12,1.18139E-08,-3.570725819,10.83684111,10.95169186,10.87819556,7.325687424,7.349432876,7.27943077
232377_at,NXPH1,7.8758E-12,1.18139E-08,-4.778131975,8.14640592,8.284212447,8.061838136,3.272664876,3.375512947,3.509882756
206569_at,IL24,8.87701E-12,1.22502E-08,4.090794849,4.736193352,4.702928846,4.526558916,8.709176953,8.794513496,8.734375214
204015_s_at,DUSP4,1.09363E-11,1.28428E-08,3.377458041,6.364496574,6.446619376,6.367404446,9.727413133,9.814278654,9.769202732
204914_s_at,SOX11,1.14698E-11,1.28428E-08,4.155050628,3.945576522,4.042667742,4.058887096,8.164406199,8.294236276,8.053640769
209387_s_at,TM4SF1,1.11648E-11,1.28428E-08,-3.792047218,10.32287605,10.22554289,10.35278375,6.467215196,6.603078874,6.454766959
225975_at,PCDH18,1.05378E-11,1.28428E-08,-3.898206256,8.134861867,8.130433152,7.97801949,4.131091802,4.157487386,4.260116552
1552367_a_at,SCIN,1.8011E-11,1.9188E-08,4.09081511,5.77788506,5.71256947,5.672717507,9.674505312,9.948429984,9.81268207
218807_at,VAV3,2.13373E-11,2.08137E-08,2.947104975,7.392536717,7.380026973,7.363113171,10.32068977,10.36001702,10.296285
226034_at,DUSP4,2.078E-11,2.08137E-08,3.687640188,5.465029086,5.677101537,5.501038169,9.207554024,9.282320115,9.216215218
1552365_at,SCIN,3.17834E-11,2.79687E-08,4.030137806,7.068220608,7.06389517,7.132662806,10.93926312,11.24044112,11.17548776
209386_at,TM4SF1,3.22332E-11,2.79687E-08,-3.952799485,11.35317507,11.44139704,11.42871086,7.288895029,7.494010448,7.581979047
212977_at,CXCR7,3.2071E-11,2.79687E-08,-3.071763078,13.12464594,13.08260849,13.1920933,10.11136716,10.06932971,10.00336163
224071_at,IL20,3.97457E-11,3.32516E-08,3.556779472,6.853415621,7.082878789,6.966291674,10.45722571,10.5217528,10.59394599
208949_s_at,LGALS3,4.4391E-11,3.59058E-08,-3.231632998,11.57924026,11.66084214,11.68757932,8.334834596,8.513406564,8.384521572
204014_at,DUSP4,4.6087E-11,3.60379E-08,4.272273653,5.432814797,5.64339309,5.261808653,9.705738126,9.760173501,9.688925872
201148_s_at,TIMP3,5.4998E-11,4.16084E-08,-3.915867529,10.56719171,10.71201635,10.58116589,6.572013081,6.875063611,6.665694672
222921_s_at,HEY2,5.88836E-11,4.31663E-08,3.976539373,4.107734831,3.831905403,4.042068133,7.849945931,7.99353982,8.067840735
206898_at,CDH19,6.29823E-11,4.4772E-08,-3.28502128,7.281939158,7.374047519,7.49755315,4.116261802,4.154734111,4.027480074
206042_x_at,PAR-SN /// SNORD107 /// SNRPN /// SNURF,7.64366E-11,5.11924E-08,4.16385249,4.819597504,4.782481011,4.447276073,8.840555714,8.832973051,8.867383292
232746_at,CXCR7,7.44382E-11,5.11924E-08,-3.511369424,8.472406054,8.698466777,8.709006646,5.144280481,5.170022746,5.031467978
228370_at,LOC100506948 /// SNORD107 /// SNORD115-13 /// SNORD115-26 /// SNORD115-7 /// SNORD116-28,7.88042E-11,5.13338E-08,3.345152098,3.317556195,3.352254904,3.392512609,6.617498032,6.855060183,6.625221786
204415_at,IFI6,8.97567E-11,5.69186E-08,2.872554653,7.813348257,7.850493713,7.694187608,10.59787135,10.67963814,10.69818405
203909_at,SLC9A6,9.26219E-11,5.71488E-08,2.538037977,5.961257845,5.908960454,5.922389093,8.49274807,8.495498362,8.418474891
209617_s_at,CTNND2,1.00152E-10,6.01333E-08,-2.647044767,7.994700424,8.079163889,8.130338183,5.40657148,5.451654785,5.404841929
206463_s_at,DHRS2,1.0909E-10,6.2348E-08,2.77199701,7.78284534,7.961791713,7.843985439,10.63236199,10.61430276,10.65794877
229242_at,TNFSF15,1.07146E-10,6.2348E-08,4.06594256,4.156243651,4.062139649,4.104760955,8.145705783,8.392202437,7.983063716
206754_s_at,CYP2B6 /// CYP2B7P1,1.21365E-10,6.75641E-08,3.16078718,6.050828889,5.880143149,5.88934513,9.096306367,9.003044273,9.203328068
201150_s_at,TIMP3,1.33439E-10,7.25376E-08,-5.034214784,9.700684727,9.871270593,9.622586628,4.394178984,4.815704577,4.882014035
213745_at,ATRNL1,1.38524E-10,7.4087E-08,5.120430513,3.533478546,3.643465207,3.208046762,8.357670523,8.738251615,8.650359918
202291_s_at,MGP,1.83458E-10,9.53715E-08,3.079990753,6.202794642,6.444764383,6.275815104,9.340174094,9.346501689,9.476670605
212646_at,RFTN1,1.90608E-10,9.73768E-08,2.734436391,7.130922623,7.338932986,7.221949595,9.94074848,9.945178325,10.00918757
203913_s_at,HPGD,2.18726E-10,1.09276E-07,5.25231646,4.990530354,4.854942198,5.347346097,10.07420626,10.4841984,10.39136336
206632_s_at,APOBEC3B,2.29719E-10,1.11038E-07,-4.232230348,7.133174467,7.545953998,7.343065771,3.221401521,3.165788269,2.938313403
226534_at,KITLG,2.32083E-10,1.11038E-07,-2.595117276,12.30384109,12.40610669,12.42056775,9.779162058,9.862699221,9.703302423
224925_at,PREX1,2.3668E-10,1.11162E-07,-2.244327191,12.11619992,12.13273535,12.11914059,9.853438654,9.850332819,9.931322807
227692_at,GNAI1,2.60942E-10,1.20019E-07,2.866342814,3.191000088,2.996900898,3.143346895,5.900619337,6.080151681,5.949505305
211549_s_at,HPGD,2.76808E-10,1.24927E-07,4.162099465,6.268240509,5.90531472,5.910143525,10.04516778,10.3465621,10.17826727
205694_at,TYRP1,3.00006E-10,1.25636E-07,-3.182927759,9.516588461,9.631225695,9.547698105,6.2934217,6.571079426,6.282227857
213712_at,ELOVL2,2.97359E-10,1.25636E-07,2.958877285,6.631471882,6.391640189,6.503790402,9.38672249,9.568916058,9.447895781
218309_at,CAMK2N1,2.99769E-10,1.25636E-07,-2.317229802,11.0403871,11.04449601,11.10145787,8.670100111,8.787741572,8.776809884
223253_at,EPDR1,2.87543E-10,1.25636E-07,-4.877743306,8.584519048,8.86333352,8.830148778,3.670010562,4.196362485,3.778398383
209369_at,ANXA3,3.14097E-10,1.29192E-07,-2.706922313,9.125385234,9.192336693,9.079639507,6.370019238,6.555937452,6.350637807
203438_at,STC2,3.25773E-10,1.29582E-07,-2.176416859,10.24738736,10.21942445,10.26607538,8.036242968,8.119543834,8.047849798
227022_at,GNPDA2,3.26295E-10,1.29582E-07,-3.224074018,6.684924261,6.52082181,6.593733808,3.209128757,3.386917839,3.531211229
205083_at,AOX1,3.56261E-10,1.39149E-07,2.139922467,6.644832655,6.685420372,6.71063708,8.78486232,8.853491,8.822304189
224909_s_at,PREX1,4.3115E-10,1.65702E-07,-2.094996362,13.38124654,13.4300869,13.43398864,11.35647748,11.27902002,11.32483549
214079_at,DHRS2,4.4855E-10,1.69838E-07,2.68590711,9.510217452,9.757145086,9.734227769,12.33964426,12.34720591,12.37246147
215034_s_at,TM4SF1,4.95262E-10,1.83952E-07,-4.018240396,10.36656867,10.50824371,10.4213021,6.114460227,6.544456639,6.582476427
223475_at,CRISPLD1,5.02446E-10,1.83952E-07,2.610319788,7.010684672,6.810456343,6.873202472,9.48089642,9.603697632,9.440708798
219090_at,SLC24A3,5.17009E-10,1.86534E-07,-3.970361646,8.102569037,8.25651623,8.26817799,3.950639536,4.358331881,4.407206903
209987_s_at,ASCL1,5.57123E-10,1.97921E-07,3.872050023,4.725887936,4.407904918,4.476976108,8.221255984,8.384413452,8.621249595
208235_x_at,GAGE12F /// GAGE12G /// GAGE12I /// GAGE4 /// GAGE5 /// GAGE6 /// GAGE7,5.75064E-10,1.98307E-07,2.537848814,4.621578579,4.526558916,4.380226503,6.999205853,7.086936218,7.05576837
227697_at,SOCS3,5.72423E-10,1.98307E-07,-2.575314444,7.703878538,7.882916922,7.677609605,5.11718573,5.260577229,5.160698773
227875_at,KLHL13,6.03203E-10,2.0495E-07,2.674818767,4.686312761,4.951518939,4.806146349,7.422289327,7.498173919,7.547971104
227198_at,AFF3,6.49878E-10,2.17769E-07,2.656960481,8.301463409,8.332396487,8.295592044,10.801094,11.07917966,11.02005973
211657_at,CEACAM6,6.80109E-10,2.23445E-07,-2.714053271,9.621631605,9.57780207,9.566139313,6.701061131,6.931267077,6.991084967
229714_at,HS6ST3,6.86014E-10,2.23445E-07,-2.785479184,7.798848547,7.546632704,7.627814298,4.781996625,4.852443601,4.982417772
212094_at,PEG10,7.14279E-10,2.2938E-07,3.315809772,4.588350526,4.382596779,4.341251983,7.55067114,7.852225465,7.856731998
209735_at,ABCG2,7.65941E-10,2.3668E-07,-2.132510778,8.513833268,8.464725184,8.60424706,6.356324059,6.44673785,6.382211268
209839_at,DNM3,7.6658E-10,2.3668E-07,-2.72537671,6.383672586,6.518041529,6.552882869,3.72271461,3.647118397,3.908633845
239195_at,---,7.48366E-10,2.3668E-07,3.716897839,3.712655433,3.785728936,3.374330445,7.205623264,7.483483725,7.334301343
214022_s_at,IFITM1,8.4957E-10,2.58886E-07,2.659196455,7.882916922,8.06546802,8.13037221,10.7394461,10.5791927,10.73770772
204417_at,GALC,8.94597E-10,2.64631E-07,-2.800761191,7.96122667,7.897156753,7.959193803,5.077867886,5.332189918,5.00523585
205306_x_at,KMO,9.11349E-10,2.64631E-07,2.939121786,3.772954331,3.95279772,3.850098469,6.665641544,6.987299699,6.740274634
206091_at,MATN3,9.14056E-10,2.64631E-07,-2.918391194,7.004255736,6.950835478,6.825332623,4.014330611,4.170477287,3.840442357
212599_at,AUTS2,8.82653E-10,2.64631E-07,-4.466114637,8.031997755,8.411392768,8.419446775,3.781581923,4.091761078,3.591150386
219768_at,VTCN1,9.55802E-10,2.73416E-07,2.308445454,6.317773878,6.457433187,6.553608958,8.753366545,8.763696175,8.737089665
219109_at,SPAG16,1.00074E-09,2.82554E-07,-3.070462099,6.960084301,7.171518334,7.221055782,4.181601635,4.082764152,3.876906333
228855_at,NUDT7,1.05179E-09,2.9315E-07,-2.056336635,8.477624091,8.455497642,8.426450329,6.35647299,6.34338184,6.490707327
218692_at,SYBU,1.08587E-09,3.00737E-07,1.926986839,8.817027146,8.928967128,8.882917937,10.83319501,10.78355865,10.79311907
228067_at,KIAA1211L,1.10732E-09,3.02694E-07,-3.293777828,9.492318187,9.64384646,9.519464754,6.005884271,6.352739639,6.415672006
1553602_at,MUCL1,1.14279E-09,3.07302E-07,3.620573366,5.970933631,6.470920569,6.114326064,9.724628425,9.816112863,9.877159072
201842_s_at,EFEMP1,1.17661E-09,3.1447E-07,-2.315702136,10.26113288,10.24608531,10.24550973,7.887220822,8.080014083,7.838386607
226612_at,UBE2QL1,1.21287E-09,3.18842E-07,-3.710237777,8.286379738,8.758642082,8.449931065,4.785642458,4.933761361,4.644835734
231131_at,FAM133A,1.23836E-09,3.23116E-07,3.005972026,4.5202733,4.558162778,4.598405291,7.407392638,7.798148469,7.48921634
204624_at,ATP7B,1.27359E-09,3.27297E-07,-2.076085016,8.908691436,9.014954755,9.044384508,6.964061433,6.935945998,6.83976822
221729_at,COL5A2,1.45544E-09,3.72173E-07,2.441339592,4.954786883,5.172177174,5.149256342,7.426233171,7.573515729,7.600490275
204971_at,CSTA,1.55921E-09,3.93388E-07,-2.136364953,10.00644694,10.01034103,9.915466426,7.730802096,7.926888586,7.865468853
213744_at,ATRNL1,1.58853E-09,3.96688E-07,2.518908068,4.142232671,3.987554404,4.174860368,6.554482526,6.536016187,6.770872933
228762_at,LFNG,1.67799E-09,4.1473E-07,-2.121086943,8.868417484,9.026527258,8.898072151,6.899002201,6.772625358,6.758128505
226145_s_at,FRAS1,1.73771E-09,4.25068E-07,1.966910459,6.581466012,6.701061131,6.580729821,8.51972154,8.616713523,8.627553278
208155_x_at,GAGE1 /// GAGE12C /// GAGE12D /// GAGE12E /// GAGE12F /// GAGE12G /// GAGE12H /// GAGE12I /// GAGE12J /// GAGE2A /// GAGE2D /// GAGE4 /// GAGE5 /// GAGE6 /// GAGE7,1.78718E-09,4.28358E-07,2.506853059,4.377435281,4.506465508,4.216025721,6.78945427,6.876120496,6.954910919
209921_at,SLC7A11,1.78559E-09,4.28358E-07,2.23063064,6.626206512,6.71279862,6.821760559,8.94619329,9.04177405,8.86469027
211712_s_at,ANXA9,1.90422E-09,4.50089E-07,-2.031356391,9.531882186,9.710837573,9.7035738,7.584812703,7.624955361,7.642456321
227282_at,PCDH19,2.07421E-09,4.85456E-07,-1.997351287,8.917918046,9.074492927,8.991759262,7.02641916,6.920159552,7.045537663
209460_at,ABAT,2.17824E-09,5.06192E-07,-2.091015997,11.35767276,11.42924036,11.35313624,9.174573915,9.398160245,9.29426721
204105_s_at,NRCAM,2.36345E-09,5.3669E-07,-2.42585569,8.757975781,8.759800862,8.856681851,6.183235052,6.459590548,6.454065824
206247_at,MICB,2.3722E-09,5.3669E-07,-2.34482149,8.991984579,9.169443679,9.096671301,6.592300993,6.799462552,6.831871543
218995_s_at,EDN1,2.37626E-09,5.3669E-07,-1.823381161,9.326773014,9.384718872,9.362464671,7.459521442,7.540659823,7.603631809
226018_at,C7orf41,2.42741E-09,5.42746E-07,-1.938345389,6.21029291,6.204423125,6.105748082,4.275299128,4.288027487,4.142101333
201236_s_at,BTG2,2.492E-09,5.45752E-07,1.80386904,7.07090866,7.096569118,7.108015542,8.934716643,8.810715592,8.941668204
205364_at,ACOX2,2.46746E-09,5.45752E-07,3.232971459,4.794605028,4.52275252,4.94016219,7.807927706,8.069996812,8.078509596
215193_x_at,HLA-DRB1 /// HLA-DRB3 /// HLA-DRB4 /// LOC100507709 /// LOC100507714,2.53086E-09,5.49385E-07,-2.615853689,8.304441336,8.551988445,8.243387301,5.651625204,5.742536195,5.858094617
238029_s_at,SLC16A14,2.5939E-09,5.57254E-07,-2.298449012,8.642607235,8.494212044,8.51839177,6.100293273,6.339809863,6.319760877
221035_s_at,TEX14,2.62718E-09,5.60716E-07,2.31895005,5.128346995,5.242846763,5.437491819,7.615447092,7.572312007,7.577776627
224646_x_at,H19 /// MIR675,2.86114E-09,6.04259E-07,2.600991252,5.104894548,4.934247396,4.718929709,7.558849596,7.496933757,7.505262057
205453_at,HOXB2,2.96319E-09,6.19803E-07,1.7714869,5.919464061,5.904404149,5.832853506,7.697988696,7.687227434,7.585966285
57588_at,SLC24A3,2.99139E-09,6.20544E-07,-3.25268894,7.665515032,8.014009431,8.055779654,4.541037591,4.851275005,4.584924702
208978_at,CRIP2,3.07467E-09,6.31558E-07,-1.700952565,9.864751402,9.859863155,9.791645828,8.124068821,8.098267976,8.191065892
219612_s_at,FGG,3.1381E-09,6.40342E-07,2.271804144,4.24835621,4.286180587,4.374058516,6.533996596,6.735316445,6.454694704
204404_at,SLC12A2,3.18241E-09,6.42908E-07,-1.779295318,12.36381557,12.215576,12.23653619,10.49756353,10.50660495,10.47387333
209560_s_at,DLK1,3.21771E-09,6.45431E-07,1.829264839,7.888958884,8.045442469,8.049106739,9.812887381,9.834950221,9.823465007
200923_at,LGALS3BP,3.40867E-09,6.66428E-07,2.064775975,6.585284597,6.736107168,6.844020322,8.784374004,8.813924829,8.76144118
201843_s_at,EFEMP1,3.38195E-09,6.66428E-07,-2.523539262,8.69449223,8.730918423,8.594409751,5.972958514,6.332522414,6.143721691
222802_at,EDN1,3.40103E-09,6.66428E-07,-1.738584073,9.667486757,9.54890641,9.635761561,7.878810077,7.833173496,7.924418937
203757_s_at,CEACAM6,3.46258E-09,6.70611E-07,-2.798155633,9.023946062,9.158973994,9.027680981,6.07007209,6.495654161,6.250407888
210085_s_at,ANXA9,3.53917E-09,6.73299E-07,-1.857030695,9.136254046,9.108664574,9.110212534,7.14769763,7.334301343,7.302040095
229441_at,PRSS23,3.55683E-09,6.73299E-07,4.206922595,4.454483655,4.25806336,4.965475652,8.662801131,8.88740917,8.74858015
232679_at,CTC-523E23.1 /// OTTHUMG00000175768,3.5465E-09,6.73299E-07,-2.422199621,6.008350134,6.106499559,6.269892897,3.649730139,3.850098469,3.618315119
205221_at,HGD,3.73817E-09,6.96115E-07,2.885132044,6.063221028,6.066323605,6.273946707,9.152210738,9.126396361,8.780280375
212845_at,SAMD4A,3.7331E-09,6.96115E-07,-1.729969597,9.199279661,9.147742901,9.169030204,7.492109991,7.477573279,7.356460705
236445_at,---,3.77645E-09,6.9802E-07,1.952156873,5.396851645,5.554226018,5.404408087,7.477819526,7.414542756,7.319594087
202730_s_at,MIR4680 /// PDCD4,3.80689E-09,6.98063E-07,1.697439707,8.557132107,8.469858571,8.47747711,10.14591466,10.25423873,10.19663352
1564856_s_at,LOC727924,4.15032E-09,7.42945E-07,3.460523011,3.095747954,3.056753839,3.314155993,6.296788802,6.792200523,6.759237494
202508_s_at,SNAP25,4.12219E-09,7.42945E-07,2.048880923,4.435766558,4.432731538,4.374580534,6.369864594,6.615369336,6.404487469
228058_at,ZG16B,4.14819E-09,7.42945E-07,-1.606184163,10.16784812,10.24882169,10.17297984,8.587751809,8.620278422,8.563066925
227717_at,ARHGEF37,4.28851E-09,7.6219E-07,-2.087238446,8.064334107,8.072782946,8.043792262,5.843799613,6.127581915,5.947812451
223235_s_at,SMOC2,4.41649E-09,7.78816E-07,-2.671535631,7.932554417,8.299623465,8.274211392,5.489832418,5.584990659,5.416959303
243489_at,---,4.44955E-09,7.78816E-07,2.6956508,5.227837799,4.854775515,4.973407443,7.600438128,7.838321464,7.704213565
227764_at,LYPD6,4.61104E-09,8.00842E-07,-1.616864317,7.80660063,7.818541048,7.839590683,6.138777915,6.256607782,6.218753713
208161_s_at,ABCC3,4.84253E-09,8.22519E-07,-2.060790323,9.32957564,9.600168381,9.506679098,7.422954965,7.461472461,7.369624725
209312_x_at,HLA-DRB1 /// HLA-DRB4 /// HLA-DRB5 /// LOC100507709 /// LOC100507714,4.77975E-09,8.22519E-07,-1.91584633,8.154864715,8.143733246,8.3595565,6.316498394,6.288599868,6.30551721
232231_at,RUNX2,4.80949E-09,8.22519E-07,3.020316535,3.015436724,3.239763132,3.157440018,5.931795697,6.411655557,6.130138225
223168_at,RHOU,5.02204E-09,8.46972E-07,1.733815341,6.309309118,6.278842764,6.212890496,7.943754173,8.089809416,7.968924814
241247_at,OTTHUMG00000159737 /// RP11-167H9.6,5.15936E-09,8.64374E-07,1.590762676,6.480501524,6.533912917,6.467214621,8.121562349,8.104822772,8.027531969
211653_x_at,AKR1C2 /// LOC101060798,5.69654E-09,9.4806E-07,1.495914205,9.462582711,9.485102448,9.493172587,11.01082982,10.97006659,10.94770396
216594_x_at,AKR1C1,5.8036E-09,9.512E-07,1.54134735,10.37973202,10.47143343,10.42076682,11.9492784,11.99713487,11.94956104
223551_at,PKIB,5.77257E-09,9.512E-07,1.668083317,10.69377513,10.58599392,10.60934741,12.23043472,12.30724908,12.35568259
210677_at,SOAT2,6.01972E-09,9.78514E-07,1.663658165,7.208603963,7.161317066,7.200550039,8.892726073,8.90903285,8.759686641
214053_at,ERBB4,6.05134E-09,9.78514E-07,-1.883903449,10.56379546,10.41686357,10.49651654,8.623620976,8.702396217,8.499448024
229649_at,NRXN3,6.154E-09,9.87875E-07,1.738254968,7.021137517,6.993503509,7.123360406,8.754053469,8.869491568,8.729221301
239481_at,FAM133A,6.22468E-09,9.92323E-07,3.408455136,4.839248888,4.62641826,4.458432333,8.141044456,8.252699515,7.755720916
202274_at,ACTG2,6.32062E-09,1.00146E-06,-1.762025176,10.23672054,10.25617885,10.19571254,8.395581445,8.584586233,8.42236872
207076_s_at,ASS1,6.48098E-09,1.01313E-06,1.506708346,11.0458451,11.11745305,11.03781686,12.549328,12.58034026,12.59157178
222307_at,PDCD4-AS1,6.45693E-09,1.01313E-06,1.936302293,6.111546293,5.880214711,6.08630171,7.91046488,8.012409288,7.964095426
201149_s_at,TIMP3,6.55745E-09,1.01677E-06,-3.534276568,8.409570273,8.270298068,8.165234085,5.105079947,4.499626491,4.637566284
230406_at,---,6.5883E-09,1.01677E-06,1.603204493,6.231574888,6.172720005,6.203894551,7.759888857,7.887039765,7.770874301
204913_s_at,SOX11,6.92527E-09,1.06224E-06,3.796826036,3.569954333,4.030682415,4.304276607,7.762956489,7.80442021,7.728014762
212445_s_at,NEDD4L,6.97575E-09,1.06295E-06,-1.710179821,9.733327957,9.79313421,9.859735806,8.023540756,8.058032936,8.174084818
219077_s_at,WWOX,7.07867E-09,1.07123E-06,-1.706879106,9.582108292,9.649427755,9.663615881,7.823999354,8.001468402,7.949046853
242943_at,ST8SIA4,7.1395E-09,1.07338E-06,-2.288849258,7.921275281,7.859295436,7.891343745,5.575355248,5.80235392,5.42765752
205818_at,DBC1,7.20268E-09,1.07551E-06,3.593473949,4.481234778,5.029187356,4.980498887,8.36033143,8.62495325,8.286058186
201601_x_at,IFITM1 /// IFITM2,7.3905E-09,1.09E-06,2.411122794,7.841100303,7.860083291,8.156694279,10.37281748,10.24849642,10.46993235
239237_at,LOC100506776,7.39241E-09,1.09E-06,-2.122962306,7.793978445,7.980088625,7.744076527,5.831432789,5.716775564,5.601048326
225645_at,EHF,7.83217E-09,1.14768E-06,1.985274199,9.122235213,8.929390998,9.010858058,10.89624016,11.12813866,10.99392805
226380_at,PTPN21,7.9309E-09,1.15512E-06,-1.605874947,7.066571499,7.067308108,6.999118481,5.472359704,5.491202236,5.351811307
200696_s_at,GSN,8.07617E-09,1.16253E-06,-1.5021771,8.869160849,8.971898042,8.907143161,7.385968157,7.409269716,7.446432881
203571_s_at,ADIRF,8.0554E-09,1.16253E-06,-1.555260435,11.98564165,12.0588122,12.00461482,10.52644164,10.45772234,10.39912338
204542_at,ST6GALNAC2,8.41348E-09,1.20263E-06,-2.04309314,7.458269486,7.747336193,7.692232074,5.596119388,5.532486605,5.639952341
227627_at,C8orf44-SGK3 /// SGK3,8.46814E-09,1.20387E-06,2.811161803,7.194495621,6.70814883,6.794853076,9.677683639,9.775995737,9.677303559
206002_at,GPR64,9.05106E-09,1.27856E-06,-2.254767609,7.199473107,7.10016676,7.325157762,4.876868829,5.137246776,4.846379197
207029_at,KITLG,9.19066E-09,1.29056E-06,-2.201459845,8.108538908,7.962989097,7.918880137,5.892358519,5.88369008,5.609980008
209360_s_at,LOC100506403 /// RUNX1,9.26816E-09,1.29405E-06,-1.628503398,8.625698883,8.742179636,8.792589853,7.044883734,7.096844992,7.133229452
206440_at,LIN7A,9.41499E-09,1.30582E-06,-1.596310555,7.472727409,7.542413443,7.42770729,5.861038528,5.962825609,5.83005234
209505_at,NR2F1,9.47537E-09,1.30779E-06,3.025349741,3.664826721,3.925907944,3.565101414,6.516530196,6.736130144,6.979224963
202731_at,MIR4680 /// PDCD4,9.87304E-09,1.35363E-06,1.6485451,9.020707442,8.953503085,8.998293694,10.54404084,10.73817016,10.63592852
242447_at,C3orf70,9.96658E-09,1.3594E-06,-1.538369796,10.18412806,10.17357057,10.12216561,8.548457508,8.622667928,8.693629415
209185_s_at,IRS2,1.01498E-08,1.36129E-06,1.634582014,7.765595453,7.960261508,7.90809751,9.505241788,9.5079785,9.524480226
227550_at,GFRA1,1.00804E-08,1.36129E-06,1.465911095,8.722881717,8.681610493,8.704538894,10.20889861,10.10263232,10.19523346
215552_s_at,ESR1,1.02603E-08,1.38032E-06,-2.303597146,8.096852484,7.997432453,8.065433037,5.574883279,5.70499441,5.969048849
228302_x_at,CAMK2N1,1.06319E-08,1.41245E-06,-2.350797538,9.066436345,9.010586423,8.894924528,6.422840665,6.80545556,6.691258456
205552_s_at,OAS1,1.11598E-08,1.47563E-06,1.944474787,4.690330177,4.571190195,4.607410454,6.529990906,6.443882656,6.728481624
238727_at,OTTHUMG00000180633 /// RP11-384O8.1,1.11572E-08,1.47563E-06,-1.597893385,9.222463499,9.266261162,9.307664611,7.566187903,7.714553295,7.721967918
209791_at,PADI2,1.14477E-08,1.49359E-06,1.38079962,7.421659081,7.456887778,7.455799999,8.809490926,8.864198097,8.803056695
227532_at,LRRC39,1.17476E-08,1.52438E-06,3.029834565,4.015581893,3.651757954,4.074366812,6.87269981,7.175308974,6.78320157
210139_s_at,PMP22,1.19227E-08,1.5334E-06,-2.987300573,8.730339267,9.030790726,8.707603576,5.755297632,6.108986928,5.642547289
215465_at,ABCA12,1.18815E-08,1.5334E-06,1.744155121,7.080556682,6.915418978,6.899367856,8.642513227,8.796496101,8.68879955
206115_at,EGR3,1.21586E-08,1.56347E-06,2.975146918,4.388832668,4.936494274,4.846211825,7.763642465,7.621527304,7.711809752
237031_at,OTTHUMG00000165240 /// RP11-21L23.2,1.25293E-08,1.59321E-06,1.432378735,6.993435698,6.998719346,7.0000389,8.438325381,8.487856391,8.363148376
205795_at,NRXN3,1.3216E-08,1.65544E-06,1.369921367,5.84918056,5.897852003,5.911471705,7.229182629,7.249842284,7.289243455
210237_at,ARTN,1.31578E-08,1.65544E-06,1.647324142,7.035282046,6.951097271,6.989903144,8.562818658,8.595271202,8.760165027
218245_at,TSKU,1.32233E-08,1.65544E-06,1.415155115,8.316352352,8.299056028,8.229401075,9.740993672,9.66581761,9.683463517
230269_at,---,1.32655E-08,1.6591E-06,1.385242933,6.334390543,6.282215612,6.23681598,7.685365916,7.665654306,7.658130712
214033_at,ABCC6,1.37631E-08,1.71237E-06,-2.308727173,8.559132968,8.79640091,8.625900024,6.265986028,6.228383251,6.560883104
204915_s_at,SOX11,1.40644E-08,1.74039E-06,3.064964701,4.362013586,4.460631147,4.644739614,7.224821544,7.689297018,7.748159888
203910_at,ARHGAP29,1.4376E-08,1.74077E-06,2.165363332,7.188653717,6.970254995,7.127091963,9.235499784,9.437969145,9.108621743
214212_x_at,FERMT2,1.44435E-08,1.74077E-06,-1.775552932,8.838263307,8.791099973,8.734022605,6.865388116,7.113916771,7.057422202
