probeset_id,gene_symbol,pvalue,FDR,logFC,LCC1-P18.CEL,LCC1-P19.CEL,LCC1-P20.CEL,LCC9 -P12.CEL,LCC9 -P13.CEL,LCC9 -P14.CEL
215050_x_at,MAPKAPK2,0.003473102,0.012970476,0.324821196,6.676204685,6.609727939,6.723988141,6.945589497,7.13088559,6.907909266
218592_s_at,CECR5,0.003473247,0.012970476,0.268574145,11.11034387,11.20663476,11.1427128,11.4754862,11.37902638,11.41090128
208924_at,RNF11,0.003473969,0.012971107,-0.350296006,10.46936701,10.39506889,10.37729187,9.897506037,10.1785868,10.11474691
203097_s_at,RAPGEF2,0.003480592,0.012993767,-0.328415991,9.492258815,9.391612378,9.284988224,9.032007081,9.159955528,8.991648835
220181_x_at,SLC30A5,0.00348146,0.012994939,0.313337373,8.007032109,8.20457561,8.066406301,8.438471486,8.450708713,8.32884594
228462_at,IRX2,0.003482903,0.012998256,-0.309065593,8.571408812,8.62282595,8.537392388,8.148062036,8.361389162,8.294979171
203560_at,GGH,0.003484891,0.013003373,0.309374477,9.769414025,9.773523445,9.821986408,9.987710381,10.21529459,10.09004234
205264_at,CD3EAP,0.003485383,0.013003373,0.264690335,9.149813719,9.251491936,9.194265096,9.447864588,9.435051973,9.506725193
202009_at,TWF2,0.003493109,0.013030124,-0.26279426,8.445592341,8.409943563,8.460049483,8.213095812,8.112491187,8.201615607
204018_x_at,HBA1 /// HBA2,0.003494879,0.013034654,0.364329795,6.792045383,6.613621986,6.859497312,7.219936217,7.003501571,7.134716277
236273_at,NBPF1,0.003496628,0.013039103,0.288297873,7.932211473,8.105828934,8.070451868,8.322251851,8.351177877,8.299956164
230142_s_at,CIRBP,0.00349762,0.013040729,-0.320350355,6.414426463,6.568066484,6.62320894,6.294830675,6.180836962,6.168983184
223046_at,EGLN1,0.003504134,0.013062939,-0.452735775,10.23192815,9.900429067,10.09367892,9.466337823,9.798993433,9.602497557
236268_at,SEC22C,0.003507686,0.013074102,0.572266998,6.570363886,6.76029612,6.381676754,6.84605203,7.315879502,7.267206221
