,name,fold,Direction,tstat,pvalue,FDR,mzmed,mzmin,mzmax,rtmed,rtmin,rtmax,npeaks,LCC1,LCC9,20130426_AYESHA_CELL_POS_1001,20130426_AYESHA_CELL_POS_1101,20130426_AYESHA_CELL_POS_1201,20130426_AYESHA_CELL_POS_2001,20130426_AYESHA_CELL_POS_2101,20130426_AYESHA_CELL_POS_2201,20130426_AYESHA_CELL_POS_2301,20130426_AYESHA_CELL_POS_2401,20130426_AYESHA_CELL_POS_801,20130426_AYESHA_CELL_POS_901,20130426_AYESHA_CELL_POS_1401,20130426_AYESHA_CELL_POS_1501,20130426_AYESHA_CELL_POS_1601,20130426_AYESHA_CELL_POS_1701,20130426_AYESHA_CELL_POS_1801,20130426_AYESHA_CELL_POS_2601,20130426_AYESHA_CELL_POS_2701,20130426_AYESHA_CELL_POS_2801,20130426_AYESHA_CELL_POS_2901,20130426_AYESHA_CELL_POS_3001,isotopes,adduct,pcgroup
1033,M319T447,1.421017467,DOWN,-1.690939738,0.108201836,0.332699653,319.2883671,319.2782037,319.300156,446.513007,443.9960003,449.5049858,10,3,7,5642.369255,7239.945396,4714.021777,1195.200869,4710.116537,2499.446283,6585.806117,3958.163918,4070.05352,3673.592972,3946.26108,4351.090476,4132.938067,6105.053715,2785.882718,3854.005022,787.8446998,1329.244819,1353.876011,2520.708566,,,594
713,M265T288,1.203037478,DOWN,-1.701707606,0.10826212,0.332699653,265.1085934,265.1057398,265.1098482,288.0869997,287.9100051,290.2599907,6,1,5,1681.938148,2043.942891,1328.490105,1512.784833,2076.20686,1625.915663,1768.499737,1583.89988,1589.567451,2359.753979,1161.640868,1393.809663,1131.265666,1633.855036,1666.86621,1695.838237,2282.172268,1251.309688,615.3117394,1773.460267,,,219
3026,M647T578,1.17516321,DOWN,-1.700342164,0.108286415,0.332699653,647.4226302,647.4166311,647.4303215,577.5119757,577.1260071,578.0639784,9,4,5,3716.856658,2229.574177,1999.854401,2413.954961,2463.354123,2620.759059,2193.784284,2486.386656,2264.520988,1607.222259,2244.803019,1820.578112,2634.242268,2088.927071,2334.258215,2392.745131,2075.488714,1588.070887,1402.467268,1837.938376,,[M+K+NH3]+ 591.429 [M+K]+ 608.461,30
2202,M511T578,1.220632766,UP,1.708282147,0.108374259,0.332742263,511.2842016,511.2798294,511.2866217,578.386022,577.7890002,579.2920274,17,10,7,3144.412943,2046.945374,3691.979574,2462.227171,3544.465468,2675.476104,2180.764459,2975.916743,2700.718699,3817.461226,3657.064318,5244.954489,1473.338696,2956.858901,3225.526152,4376.895043,4411.448584,3322.200401,3169.509522,3853.954879,[349][M]+,,30
234,M155T242,1.275997893,DOWN,-1.713140631,0.109303083,0.335255205,155.0709351,155.0702631,155.0715218,241.9484997,241.6339874,242.5140133,16,8,8,5135.866023,4503.258713,7687.085399,8732.08335,10181.34567,4870.732864,5208.968692,6101.433603,11491.5121,10462.39977,4580.245272,6605.217634,4344.843657,5192.861847,7102.22362,4350.132424,5143.538997,5976.691668,6347.345171,8644.367581,,[M+H-CO]+ 182.059,156
3680,M727T609,1.666196513,DOWN,-1.684569404,0.109341793,0.335255205,726.6536427,726.648117,726.6596633,608.6100177,604.5640172,609.0660095,7,2,5,2813.639746,30572.52905,19356.35223,23216.99519,14421.80583,17513.20336,29865.07177,16162.08935,4606.730872,16186.57135,3733.08867,12076.32822,4269.055545,30856.97719,11701.02233,21878.3681,2301.332293,3955.9613,3404.124996,10682.31438,,[M+Na]+ 703.677,36
3986,M768T610,1.663171894,UP,1.717599698,0.109438304,0.335322543,767.6953558,767.6942824,767.7014609,610.0520068,609.628985,610.5460068,20,10,10,52272.94864,15322.54547,62772.10397,34434.46745,91788.02116,50435.37985,13944.85727,65993.21364,38408.02188,94827.46027,58198.42039,153809.9162,73347.62057,15045.62191,157671.3292,51858.42908,143627.0437,63039.16541,9867.527897,138715.3142,[756][M+1]+,,36
1544,M400T399_2,1.57052507,DOWN,-1.684026671,0.109947246,0.33665263,400.3049728,400.3033271,400.3078826,399.3109989,398.6830044,399.6229935,7,2,5,17604.63801,15745.30761,960.6069093,11557.22042,14236.82218,647.325929,11860.79305,12775.40609,15739.48876,17387.47191,7100.626759,851.8082668,10542.11748,931.4610698,13080.79974,5300.231014,1131.85359,13359.79389,10462.53296,12700.85038,,[M+Na+NH3]+ 360.289,13
3239,M673T563,1.609158346,UP,1.729270397,0.1102791,0.337439043,673.4630409,673.4546645,673.4713848,562.7990055,562.3209912,563.266983,8,2,6,1836.531386,1078.361271,2002.548843,911.9781251,2570.130699,1772.157627,858.678709,1026.169624,1071.828688,2144.894909,1587.014251,3304.771883,2334.130071,833.7464999,5736.601656,635.3788609,3032.871545,2454.41605,888.3005408,3769.894434,[569][M+1]+,,73
4010,M771T422,1.261641,DOWN,-1.724032662,0.110410869,0.337589864,771.4928457,771.489657,771.5072572,422.2640118,421.6420119,424.1669941,7,2,5,1411.607503,1380.587056,1634.158407,1001.989707,1431.705834,1667.424497,1234.741861,1586.011212,1312.985866,1582.593948,622.2504048,412.4319684,1380.379603,1517.441874,316.2097965,1000.017737,1544.981329,1402.216539,1537.247252,1556.727585,,[M+Na]+ 748.502,101
3085,M654T541,1.166139143,DOWN,-1.711957992,0.110478497,0.337589864,654.3564131,654.3547773,654.3634561,540.9285048,540.6170082,541.8689919,14,5,9,10652.978,14091.72427,10652.9238,12112.40764,10761.12165,14651.41955,12237.23199,12116.3888,13624.14661,12582.73429,13281.14363,6927.943892,10998.20492,9062.272348,9415.020412,13777.35538,7185.372147,11116.63709,8477.023047,15649.54405,[531][M+2]+,,23
3103,M657T605,1.472919107,DOWN,-1.679040403,0.110660895,0.337685428,656.6244938,656.6148145,656.6323014,605.1210022,604.0240199,608.2329959,19,10,8,33211.66257,66619.95691,29433.24411,28572.49789,20667.8603,26624.45476,56774.08409,34034.97042,31016.22503,30671.67302,26027.23967,22481.0889,30516.76118,45229.35952,9539.404249,18459.32763,13171.15076,13623.54907,57044.52169,6708.866831,[543][M]+,[M+H-CH4]+ 671.647 [M+H-H20]+ 673.636,12
2644,M585T23,1.344835128,DOWN,-1.678976398,0.11071856,0.337685428,584.7305325,584.7226598,584.7365895,22.90000012,22.33400064,23.83500086,8,5,3,963.1006149,686.3814624,781.0152482,1311.776369,385.483649,1567.601294,970.0295319,999.0963855,1391.983252,777.0957486,921.433882,602.6834375,1042.163915,371.1713232,641.7197848,548.9227972,449.9189672,1418.669144,636.54574,678.8670067,,,39
1000,M315T397,1.466808384,UP,1.727060193,0.110734995,0.337685428,315.1732626,315.170848,315.1815355,397.2530079,396.4310133,399.5619861,11,7,4,2488.89892,4445.684849,3197.552772,2563.870513,3687.028119,5684.539912,5473.314914,4601.337267,2718.45749,3486.569873,11110.44034,4493.806582,4154.053567,5252.34783,4417.09847,11158.35984,4787.508372,1823.274849,5259.702418,3791.482304,,[M+H]+ 314.166,13
2784,M610T592_1,1.239590311,DOWN,-1.686352608,0.111142998,0.338585519,609.5279269,609.5235802,609.5318818,592.3734991,591.441021,593.008976,8,3,5,1867.179904,1554.827232,1911.501712,1233.501493,1090.850218,1181.92938,1532.114712,1388.109703,1794.397581,1938.890501,1754.626275,421.8614408,1698.213908,1461.723463,803.3431629,1694.782063,859.7970664,1574.574848,1265.120848,964.6851674,[471][M+1]+,,8
167,M141T560,1.053600069,UP,1.68032964,0.111180705,0.338585519,141.1144465,141.1141688,141.1145978,560.279481,558.8710213,560.8289735,10,4,6,313613.4822,316317.3844,317863.298,327507.537,319527.3026,271397.2698,308027.3281,316098.7572,255208.7837,329985.6076,330943.7033,315824.6202,305093.3528,329131.9577,316203.6007,371063.4053,313636.2678,306320.5141,320011.4111,332167.4342,,,737
3197,M668T603_1,1.362178358,UP,1.676768267,0.111930562,0.340440629,667.6049232,667.5965139,667.61189,603.0055104,602.2560281,603.9750131,8,5,3,42158.10834,29974.70941,20259.65483,15234.52844,45159.09568,37482.73046,12456.62712,37613.34325,20949.47925,20450.93651,41199.88514,55550.44185,40201.46305,29456.38715,62985.00896,20630.77978,54352.7792,19565.65506,26560.97471,33275.6841,[559][M+1]+,,4
368,M183T428,1.21143636,UP,1.674981366,0.112003871,0.340440629,183.1024175,183.0994199,183.1029929,428.4509919,426.3780077,430.8919933,13,9,4,5655.015643,1872.981069,3259.640146,2213.483512,3249.713896,4343.332675,3692.949305,4457.033175,3816.793188,4913.374704,5314.866701,5357.894444,5694.90435,4158.903255,5699.40091,3215.545205,4425.634276,3555.779417,4478.998425,3495.823585,,[M+H]+ 182.096,121
3540,M708T541,1.462729477,DOWN,-1.67067454,0.112084711,0.340440629,708.378691,708.3673396,708.3861624,541.0364919,539.474015,541.5579987,10,4,6,8422.872756,6304.39552,7431.268698,3863.763761,7943.48616,8397.113285,3351.949371,8198.415387,3445.63454,1883.625886,3572.269246,7106.389359,6884.938129,670.3486654,3197.101741,6727.912636,1424.534903,6414.520721,2348.872237,2154.467049,,[3M+2H]2+ 471.577,23
